日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260309,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260309,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260310,菜油,OI2609,09,中粮期货,3808,6243,-2435,净空,277,125
20260310,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260310,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260310,菜油,OI2609,09,瑞银期货,587,0,587,净多,0,0
20260311,菜油,OI2609,09,中粮期货,3778,6200,-2422,净空,-30,-43
20260311,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260311,菜油,OI2609,09,摩根大通期货,654,0,654,净多,320,0
20260311,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260312,菜油,OI2609,09,中粮期货,3324,7604,-4280,净空,-454,1404
20260312,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260312,菜油,OI2609,09,摩根大通期货,1246,0,1246,净多,592,0
20260312,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260313,菜油,OI2609,09,中粮期货,3401,7526,-4125,净空,77,-78
20260313,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260313,菜油,OI2609,09,摩根大通期货,844,0,844,净多,-402,0
20260313,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260316,菜油,OI2609,09,中粮期货,4368,7610,-3242,净空,967,84
20260316,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260316,菜油,OI2609,09,摩根大通期货,866,0,866,净多,22,0
20260316,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260317,菜油,OI2609,09,中粮期货,4768,10185,-5417,净空,400,2575
20260317,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260317,菜油,OI2609,09,摩根大通期货,955,0,955,净多,89,0
20260317,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260318,菜油,OI2609,09,中粮期货,4749,10175,-5426,净空,-19,-10
20260318,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260318,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260318,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260319,菜油,OI2609,09,中粮期货,4800,12362,-7562,净空,51,2187
20260319,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260319,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260319,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260320,菜油,OI2609,09,中粮期货,5186,12636,-7450,净空,386,274
20260320,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260320,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260320,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260323,菜油,OI2609,09,中粮期货,5019,13777,-8758,净空,-167,1141
20260323,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260323,菜油,OI2609,09,摩根大通期货,0,0,0,持平,0,0
20260323,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260324,菜油,OI2609,09,中粮期货,4665,13578,-8913,净空,-354,-199
20260324,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260324,菜油,OI2609,09,摩根大通期货,821,0,821,净多,-41,0
20260324,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260325,菜油,OI2609,09,中粮期货,4372,13787,-9415,净空,-293,209
20260325,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260325,菜油,OI2609,09,摩根大通期货,972,0,972,净多,151,0
20260325,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260326,菜油,OI2609,09,中粮期货,4437,18848,-14411,净空,65,5061
20260326,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260326,菜油,OI2609,09,摩根大通期货,4781,0,4781,净多,3809,0
20260326,菜油,OI2609,09,瑞银期货,1347,0,1347,净多,859,0
20260327,菜油,OI2609,09,中粮期货,4341,21008,-16667,净空,-96,2160
20260327,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260327,菜油,OI2609,09,摩根大通期货,8589,0,8589,净多,3808,0
20260327,菜油,OI2609,09,瑞银期货,2206,0,2206,净多,859,0
20260330,菜油,OI2609,09,中粮期货,3440,21438,-17998,净空,-901,430
20260330,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260330,菜油,OI2609,09,摩根大通期货,9474,0,9474,净多,885,0
20260330,菜油,OI2609,09,瑞银期货,2932,0,2932,净多,726,0
20260331,菜油,OI2609,09,中粮期货,3080,21761,-18681,净空,-360,323
20260331,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260331,菜油,OI2609,09,摩根大通期货,10508,0,10508,净多,1034,0
20260331,菜油,OI2609,09,瑞银期货,2932,0,2932,净多,0,0
20260401,菜油,OI2609,09,中粮期货,3057,20761,-17704,净空,-23,-1000
20260401,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260401,菜油,OI2609,09,摩根大通期货,11486,0,11486,净多,978,0
20260401,菜油,OI2609,09,瑞银期货,2976,0,2976,净多,44,0
20260402,菜油,OI2609,09,中粮期货,4346,20992,-16646,净空,1289,231
20260402,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260402,菜油,OI2609,09,摩根大通期货,12666,0,12666,净多,1180,0
20260402,菜油,OI2609,09,瑞银期货,2976,0,2976,净多,0,0
20260403,菜油,OI2609,09,中粮期货,3971,20833,-16862,净空,-375,-159
20260403,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260403,菜油,OI2609,09,摩根大通期货,12803,0,12803,净多,137,0
20260403,菜油,OI2609,09,瑞银期货,2980,0,2980,净多,4,0
20260407,菜油,OI2609,09,中粮期货,3507,21202,-17695,净空,-464,369
20260407,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260407,菜油,OI2609,09,摩根大通期货,13008,0,13008,净多,205,0
20260407,菜油,OI2609,09,瑞银期货,3945,0,3945,净多,965,0
20260408,菜油,OI2609,09,中粮期货,3719,21266,-17547,净空,212,64
20260408,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260408,菜油,OI2609,09,摩根大通期货,11401,0,11401,净多,-1607,0
20260408,菜油,OI2609,09,瑞银期货,5141,0,5141,净多,1196,0
20260409,菜油,OI2609,09,中粮期货,3328,21630,-18302,净空,-391,364
20260409,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260409,菜油,OI2609,09,摩根大通期货,9773,0,9773,净多,-1628,0
20260409,菜油,OI2609,09,瑞银期货,5254,0,5254,净多,113,0
20260410,菜油,OI2609,09,中粮期货,3157,23223,-20066,净空,-171,1593
20260410,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260410,菜油,OI2609,09,摩根大通期货,9598,1409,8189,净多,-175,584
20260410,菜油,OI2609,09,瑞银期货,6087,0,6087,净多,833,0
20260413,菜油,OI2609,09,中粮期货,3426,26131,-22705,净空,269,2908
20260413,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260413,菜油,OI2609,09,摩根大通期货,10976,2822,8154,净多,1378,1413
20260413,菜油,OI2609,09,瑞银期货,8059,0,8059,净多,1972,0
20260414,菜油,OI2609,09,中粮期货,3799,27115,-23316,净空,373,984
20260414,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260414,菜油,OI2609,09,摩根大通期货,13559,2975,10584,净多,2583,153
20260414,菜油,OI2609,09,瑞银期货,8870,0,8870,净多,811,0
20260415,菜油,OI2609,09,中粮期货,4104,31632,-27528,净空,305,4517
20260415,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260415,菜油,OI2609,09,摩根大通期货,13004,3666,9338,净多,-555,691
20260415,菜油,OI2609,09,瑞银期货,8588,0,8588,净多,-282,0
20260416,菜油,OI2609,09,中粮期货,4364,33526,-29162,净空,260,1894
20260416,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260416,菜油,OI2609,09,摩根大通期货,12776,4520,8256,净多,-228,854
20260416,菜油,OI2609,09,瑞银期货,8524,0,8524,净多,-64,0
20260417,菜油,OI2609,09,中粮期货,4814,35995,-31181,净空,450,2469
20260417,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260417,菜油,OI2609,09,摩根大通期货,13063,3354,9709,净多,287,-1166
20260417,菜油,OI2609,09,瑞银期货,8508,0,8508,净多,-16,0
20260420,菜油,OI2609,09,中粮期货,5323,38614,-33291,净空,509,2619
20260420,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260420,菜油,OI2609,09,摩根大通期货,13607,2611,10996,净多,544,-743
20260420,菜油,OI2609,09,瑞银期货,8472,0,8472,净多,-36,0
20260421,菜油,OI2609,09,中粮期货,4917,38843,-33926,净空,-406,229
20260421,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260421,菜油,OI2609,09,摩根大通期货,14686,0,14686,净多,1079,0
20260421,菜油,OI2609,09,瑞银期货,8477,0,8477,净多,5,0
20260422,菜油,OI2609,09,中粮期货,4679,41896,-37217,净空,-238,3053
20260422,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260422,菜油,OI2609,09,摩根大通期货,13622,0,13622,净多,-1064,0
20260422,菜油,OI2609,09,瑞银期货,8637,0,8637,净多,160,0
20260423,菜油,OI2609,09,中粮期货,4876,42798,-37922,净空,197,902
20260423,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260423,菜油,OI2609,09,摩根大通期货,15182,0,15182,净多,1560,0
20260423,菜油,OI2609,09,瑞银期货,8641,0,8641,净多,4,0
20260424,菜油,OI2609,09,中粮期货,4719,44473,-39754,净空,-157,1675
20260424,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260424,菜油,OI2609,09,摩根大通期货,19602,0,19602,净多,4420,0
20260424,菜油,OI2609,09,瑞银期货,8782,0,8782,净多,141,0
20260427,菜油,OI2609,09,中粮期货,4320,44840,-40520,净空,-399,367
20260427,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260427,菜油,OI2609,09,摩根大通期货,20083,0,20083,净多,481,0
20260427,菜油,OI2609,09,瑞银期货,8786,0,8786,净多,4,0
20260428,菜油,OI2609,09,中粮期货,4082,47057,-42975,净空,-238,2217
20260428,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260428,菜油,OI2609,09,摩根大通期货,21077,0,21077,净多,994,0
20260428,菜油,OI2609,09,瑞银期货,8953,0,8953,净多,167,0
20260429,菜油,OI2609,09,中粮期货,4085,52776,-48691,净空,3,5719
20260429,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260429,菜油,OI2609,09,摩根大通期货,25134,0,25134,净多,4057,0
20260429,菜油,OI2609,09,瑞银期货,9580,0,9580,净多,627,0
20260430,菜油,OI2609,09,中粮期货,3147,52139,-48992,净空,-938,-637
20260430,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260430,菜油,OI2609,09,摩根大通期货,27339,0,27339,净多,2205,0
20260430,菜油,OI2609,09,瑞银期货,11138,0,11138,净多,1558,0
20260506,菜油,OI2609,09,中粮期货,3282,53029,-49747,净空,135,890
20260506,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260506,菜油,OI2609,09,摩根大通期货,28411,0,28411,净多,1072,0
20260506,菜油,OI2609,09,瑞银期货,12884,0,12884,净多,1746,0
20260507,菜油,OI2609,09,中粮期货,2909,54276,-51367,净空,-373,1247
20260507,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260507,菜油,OI2609,09,摩根大通期货,31606,0,31606,净多,3195,0
20260507,菜油,OI2609,09,瑞银期货,12912,0,12912,净多,28,0
20260508,菜油,OI2609,09,中粮期货,3211,53904,-50693,净空,302,-372
20260508,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260508,菜油,OI2609,09,摩根大通期货,32291,0,32291,净多,685,0
20260508,菜油,OI2609,09,瑞银期货,12893,0,12893,净多,-19,0
20260511,菜油,OI2609,09,中粮期货,3312,54817,-51505,净空,101,913
20260511,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260511,菜油,OI2609,09,摩根大通期货,32094,2676,29418,净多,-197,687
20260511,菜油,OI2609,09,瑞银期货,12894,0,12894,净多,1,0
20260512,菜油,OI2609,09,中粮期货,3797,56431,-52634,净空,485,1614
20260512,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260512,菜油,OI2609,09,摩根大通期货,30257,0,30257,净多,-1837,0
20260512,菜油,OI2609,09,瑞银期货,13112,0,13112,净多,218,0
20260512,菜油,OI2701,01,中粮期货,590,4119,-3529,净空,101,431
20260512,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260512,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260512,菜油,OI2701,01,瑞银期货,474,0,474,净多,0,0
20260513,菜油,OI2609,09,中粮期货,3839,55035,-51196,净空,42,-1396
20260513,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260513,菜油,OI2609,09,摩根大通期货,30647,2506,28141,净多,390,82
20260513,菜油,OI2609,09,瑞银期货,14052,0,14052,净多,940,0
20260513,菜油,OI2701,01,中粮期货,591,4179,-3588,净空,1,60
20260513,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260513,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260513,菜油,OI2701,01,瑞银期货,474,0,474,净多,0,0
20260514,菜油,OI2609,09,中粮期货,4471,55765,-51294,净空,632,730
20260514,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260514,菜油,OI2609,09,摩根大通期货,29499,0,29499,净多,-1148,0
20260514,菜油,OI2609,09,瑞银期货,13776,0,13776,净多,-276,0
20260514,菜油,OI2701,01,中粮期货,491,4179,-3688,净空,-100,0
20260514,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260514,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260514,菜油,OI2701,01,瑞银期货,449,0,449,净多,-25,0
20260515,菜油,OI2609,09,中粮期货,5134,53616,-48482,净空,663,-2149
20260515,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260515,菜油,OI2609,09,摩根大通期货,22674,3015,19659,净多,-6825,1279
20260515,菜油,OI2609,09,瑞银期货,13770,0,13770,净多,-6,0
20260515,菜油,OI2701,01,中粮期货,498,4179,-3681,净空,7,0
20260515,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260515,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260515,菜油,OI2701,01,瑞银期货,449,0,449,净多,0,0
20260518,菜油,OI2609,09,中粮期货,6234,46745,-40511,净空,1100,-6871
20260518,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260518,菜油,OI2609,09,摩根大通期货,20992,2447,18545,净多,-1682,-568
20260518,菜油,OI2609,09,瑞银期货,12799,0,12799,净多,-971,0
20260518,菜油,OI2701,01,中粮期货,497,4179,-3682,净空,-1,0
20260518,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260518,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260518,菜油,OI2701,01,瑞银期货,449,0,449,净多,0,0
20260519,菜油,OI2609,09,中粮期货,6035,49364,-43329,净空,-199,2619
20260519,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260519,菜油,OI2609,09,摩根大通期货,23973,0,23973,净多,2981,0
20260519,菜油,OI2609,09,瑞银期货,12499,0,12499,净多,-300,0
20260519,菜油,OI2701,01,中粮期货,493,4108,-3615,净空,-4,-71
20260519,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260519,菜油,OI2701,01,摩根大通期货,138,0,138,净多,32,0
20260519,菜油,OI2701,01,瑞银期货,449,0,449,净多,0,0
20260520,菜油,OI2609,09,中粮期货,5861,52629,-46768,净空,-174,3265
20260520,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260520,菜油,OI2609,09,摩根大通期货,25544,0,25544,净多,1571,0
20260520,菜油,OI2609,09,瑞银期货,12482,0,12482,净多,-17,0
20260520,菜油,OI2701,01,中粮期货,601,4124,-3523,净空,108,16
20260520,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260520,菜油,OI2701,01,摩根大通期货,164,0,164,净多,26,0
20260520,菜油,OI2701,01,瑞银期货,449,0,449,净多,0,0
20260521,菜油,OI2609,09,中粮期货,6771,54315,-47544,净空,910,1686
20260521,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260521,菜油,OI2609,09,摩根大通期货,23431,0,23431,净多,-2113,0
20260521,菜油,OI2609,09,瑞银期货,12481,0,12481,净多,-1,0
20260521,菜油,OI2701,01,中粮期货,606,4109,-3503,净空,5,-15
20260521,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260521,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260521,菜油,OI2701,01,瑞银期货,449,0,449,净多,0,0
20260522,菜油,OI2609,09,中粮期货,7074,51213,-44139,净空,303,-3102
20260522,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260522,菜油,OI2609,09,摩根大通期货,19674,3155,16519,净多,-3757,1717
20260522,菜油,OI2609,09,瑞银期货,12123,0,12123,净多,-358,0
20260522,菜油,OI2701,01,中粮期货,520,4104,-3584,净空,-86,-5
20260522,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260522,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260522,菜油,OI2701,01,瑞银期货,418,0,418,净多,-31,0
20260525,菜油,OI2609,09,中粮期货,6655,50642,-43987,净空,-419,-571
20260525,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260525,菜油,OI2609,09,摩根大通期货,19828,2758,17070,净多,154,-397
20260525,菜油,OI2609,09,瑞银期货,12119,0,12119,净多,-4,0
20260525,菜油,OI2701,01,中粮期货,521,4104,-3583,净空,1,0
20260525,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260525,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260525,菜油,OI2701,01,瑞银期货,418,0,418,净多,0,0
20260526,菜油,OI2609,09,中粮期货,7182,50525,-43343,净空,527,-117
20260526,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260526,菜油,OI2609,09,摩根大通期货,18623,3106,15517,净多,-1205,348
20260526,菜油,OI2609,09,瑞银期货,11549,0,11549,净多,-570,0
20260526,菜油,OI2701,01,中粮期货,522,4105,-3583,净空,1,1
20260526,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260526,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260526,菜油,OI2701,01,瑞银期货,386,0,386,净多,-32,0
20260527,菜油,OI2609,09,中粮期货,7836,50124,-42288,净空,654,-401
20260527,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260527,菜油,OI2609,09,摩根大通期货,18200,2550,15650,净多,-423,-556
20260527,菜油,OI2609,09,瑞银期货,11001,0,11001,净多,-548,0
20260527,菜油,OI2701,01,中粮期货,572,4167,-3595,净空,50,62
20260527,菜油,OI2701,01,乾坤期货,0,0,0,持平,0,0
20260527,菜油,OI2701,01,摩根大通期货,0,0,0,持平,0,0
20260527,菜油,OI2701,01,瑞银期货,357,0,357,净多,-29,0
20260528,菜油,OI2609,09,中粮期货,7318,59736,-52418,净空,-518,9612
20260528,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260528,菜油,OI2609,09,摩根大通期货,24068,0,24068,净多,5868,0
